ID,Description,Size,Factor (m),Offset (b),Type,Decimal Places,Units,Scaled Min,Scaled Max,Raw Min,Raw Max,Encoding Name
76074,0 - 5080 LUX,1 [0],20,0,Unsigned,0,LUX,0,5080,$00,$FE,
76082,"0 to 1020 W/m² (1,0,0)",1 [2],1,0,Unsigned,0,W/m**2,0,1020,$0000,$03FC,
76082,"0 to 1020 W/m² (1,0,0)",1 [2],,,,,,,,$03FD,$03FD,No Signal
76082,"0 to 1020 W/m² (1,0,0)",1 [2],,,,,,,,$03FE,$03FE,Invalid Signal
76082,"0 to 1020 W/m² (1,0,0)",1 [2],,,,,,,,$03FF,$03FF,Undefined
76098,0 - 359 Degrees,1 [1],1,0,Unsigned,0,Degrees,0,359,$0000,$0167,
76118,0 to 100 %,0 [7],1,0,Unsigned,0,%,0,100,$00,$64,
76122,5 - 18 Volts,1 [0],0.1,0,Unsigned,0,Volts,5,18,$32,$B4,
76134,0 - 360 Degrees,0 [7],3,0,Unsigned,0,Degrees,0,360,$00,$78,
76142,0 - 100 % RH,1 [0],0.5,0,Unsigned,0,%,0,100,$00,$C8,
76142,0 - 100 % RH,1 [0],,,,,,,,$FF,$FF,No Signal
76150,"-40.9 to 163.6 °C (0.1,-40.9,1)",1 [3],0.1,-40.9,Unsigned,1,°C,-40.9,163.6,$0000,$07FD,
76150,"-40.9 to 163.6 °C (0.1,-40.9,1)",1 [3],,,,,,,,$07FE,$07FF,No Signal
76182,"10 to 240 Seconds(10,0,0)",0 [5],10,0,Unsigned,0,Seconds,10,240,$01,$18,
